unique_id,LMK_KEY,uprn,sale_price,log_price,deed_date,sale_year,rel_year,distance_to_prison_m,ring,postcode,postcode_district,epc_address,ppd_address,property_type_ppd,transaction_category,PROPERTY_TYPE,BUILT_FORM,total_floor_area,bedrooms,habitable_rooms,bathrooms,built_year_mid,age_at_sale,lot_size,CONSTRUCTION_AGE_BAND,CURRENT_ENERGY_RATING,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_RATING,POTENTIAL_ENERGY_EFFICIENCY,inspection_date,lodgement_date,epc_source,geocode_query,geocoded_address,latitude,longitude,geocode_status
FF5B58EB-11B9-4E72-A095-7490115A149D,017ac9c6ffe376c472e1e0d88ce1b8f4136ab618f7eac5114a2a1c615fb64f39,100030557317,67500,11.1198828768606,2009-04-09,2009,-8,21608.730871762,Control,LE67 3PT,LE67,"45 BERRISFORD STREET, COALVILLE",45 BERRISFORD STREET COALVILLE,T,A,House,Mid-Terrace,77,,4,,1890,119,,England and Wales: before 1900,C,70,B,87,2021-05-14,2021-05-15,domestic-E07000134-North-West-Leicestershire,"45 BERRISFORD STREET COALVILLE, LE67 3PT, United Kingdom","Berrisford Street, Coalville, North West Leicestershire, Leicestershire, England, LE67 3PS, United Kingdom",52.7218228,-1.3720703,ok
CD5A9DCC-1110-310A-E053-6C04A8C00A1F,01f3b0bd3620f34752e50d6588778f2a42b1624a76accdafb7ddabd7f2c0983f,100030552077,265000,12.4874851049684,2021-06-11,2021,4,29105.4235215993,Control,LE65 2FN,LE65,"64 HIGHFIELDS CLOSE, ASHBY DE LA ZOUCH",64 HIGHFIELDS CLOSE ASHBY-DE-LA-ZOUCH,S,A,House,Semi-Detached,90,,4,,1958,63,,England and Wales: 1950-1966,D,67,B,82,2020-12-16,2020-12-16,domestic-E07000134-North-West-Leicestershire,"64 HIGHFIELDS CLOSE ASHBY-DE-LA-ZOUCH, LE65 2FN, United Kingdom","64, Highfields Close, Shellbrook, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2FN, United Kingdom",52.7468947,-1.4838746,ok
2131FCF6-34D3-86E8-E063-4804A8C0372B,030a2bedb6226f967c70a8e2b37109262b8f7a0512e095383934059521e19aaa,100030551025,205000,12.2307652581205,2024-04-05,2024,7,28288.2940414761,Control,LE65 2FA,LE65,"35 AVENUE ROAD, ASHBY DE LA ZOUCH",35 AVENUE ROAD ASHBY-DE-LA-ZOUCH,T,A,House,Mid-Terrace,103,,5,,1890,134,,England and Wales: before 1900,D,64,C,78,2021-01-14,2021-01-17,domestic-E07000134-North-West-Leicestershire,"35 AVENUE ROAD ASHBY-DE-LA-ZOUCH, LE65 2FA, United Kingdom","35, Avenue Road, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2FA, United Kingdom",52.7408685,-1.4762463,ok
25EA59F9-EC66-4D50-E050-A8C0630562D0,030a2bedb6226f967c70a8e2b37109262b8f7a0512e095383934059521e19aaa,100030551025,160000,11.982929094216,2015-10-26,2015,-2,28288.2940414761,Control,LE65 2FA,LE65,"35 AVENUE ROAD, ASHBY DE LA ZOUCH",35 AVENUE ROAD ASHBY-DE-LA-ZOUCH,T,A,House,Mid-Terrace,103,,5,,1890,125,,England and Wales: before 1900,D,64,C,78,2021-01-14,2021-01-17,domestic-E07000134-North-West-Leicestershire,"35 AVENUE ROAD ASHBY-DE-LA-ZOUCH, LE65 2FA, United Kingdom","35, Avenue Road, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2FA, United Kingdom",52.7408685,-1.4762463,ok
CFC9085C-CA69-9A70-E053-6B04A8C09D6A,030a2bedb6226f967c70a8e2b37109262b8f7a0512e095383934059521e19aaa,100030551025,194000,12.1756134380455,2021-06-11,2021,4,28288.2940414761,Control,LE65 2FA,LE65,"35 AVENUE ROAD, ASHBY DE LA ZOUCH",35 AVENUE ROAD ASHBY-DE-LA-ZOUCH,T,A,House,Mid-Terrace,103,,5,,1890,131,,England and Wales: before 1900,D,64,C,78,2021-01-14,2021-01-17,domestic-E07000134-North-West-Leicestershire,"35 AVENUE ROAD ASHBY-DE-LA-ZOUCH, LE65 2FA, United Kingdom","35, Avenue Road, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2FA, United Kingdom",52.7408685,-1.4762463,ok
F16F63C5-D914-0491-E053-6C04A8C032ED,032e3fcc1cec3b36a32a12473bd42e4c07b1c81e7eab8da8fa916bb08704e398,100030554912,285000,12.5602444592508,2021-09-29,2021,4,28627.0708285166,Control,LE65 2QD,LE65,"3 WELLS ROAD, ASHBY DE LA ZOUCH",3 WELLS ROAD ASHBY-DE-LA-ZOUCH,D,A,House,Detached,79,,5,,1971,50,,England and Wales: 1967-1975,D,58,B,81,2021-03-04,2021-03-05,domestic-E07000134-North-West-Leicestershire,"3 WELLS ROAD ASHBY-DE-LA-ZOUCH, LE65 2QD, United Kingdom","3, Wells Road, Shellbrook, Ashby-de-la-Zouch, Willesley, North West Leicestershire, Leicestershire, England, LE65 2QD, United Kingdom",52.739977,-1.4837047,ok
BEF7EBBF-0840-7A76-E053-6B04A8C092F7,043afdfd9bbea6f305ebbdf37a9fa0c4f7d0241de3afd10b2746b0c011a2c08d,100030575585,152500,11.9349198750296,2021-01-22,2021,4,20812.6808860144,Control,LE67 6JS,LE67,"24 MELBOURNE ROAD, IBSTOCK",24 MELBOURNE ROAD IBSTOCK,S,A,House,Semi-Detached,94,,5,,1890,131,,England and Wales: before 1900,D,65,B,81,2020-10-02,2020-10-02,domestic-E07000134-North-West-Leicestershire,"24 MELBOURNE ROAD IBSTOCK, LE67 6JS, United Kingdom","Melbourne Road, Ibstock, North West Leicestershire, Leicestershire, England, LE67 6NP, United Kingdom",52.6890472,-1.401194,ok
314EAC14-050E-48C6-A1A7-C03DC3B1184C,045f1dbf1f7a734c527bb62a236667e5ad11ff3ca243302d00c6bcd0411774a2,100030552863,192000,12.1652506510099,2014-02-07,2014,-3,29117.124992665,Control,LE65 2QR,LE65,"51 MARLBOROUGH WAY, ASHBY DE LA ZOUCH",51 MARLBOROUGH WAY ASHBY-DE-LA-ZOUCH,D,A,House,Detached,112,,6,,1986.5,27.5,,England and Wales: 1983-1990,C,70,B,82,2020-12-04,2020-12-04,domestic-E07000134-North-West-Leicestershire,"51 MARLBOROUGH WAY ASHBY-DE-LA-ZOUCH, LE65 2QR, United Kingdom","Marlborough Way, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2QR, United Kingdom",52.751919,-1.4774024,ok
55BDCAE6-26CE-521D-E053-6B04A8C0DD7A,045f1dbf1f7a734c527bb62a236667e5ad11ff3ca243302d00c6bcd0411774a2,100030552863,270000,12.5061772379805,2017-07-07,2017,0,29117.124992665,Control,LE65 2QR,LE65,"51 MARLBOROUGH WAY, ASHBY DE LA ZOUCH",51 MARLBOROUGH WAY ASHBY-DE-LA-ZOUCH,D,A,House,Detached,112,,6,,1986.5,30.5,,England and Wales: 1983-1990,C,70,B,82,2020-12-04,2020-12-04,domestic-E07000134-North-West-Leicestershire,"51 MARLBOROUGH WAY ASHBY-DE-LA-ZOUCH, LE65 2QR, United Kingdom","Marlborough Way, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2QR, United Kingdom",52.751919,-1.4774024,ok
C8A3A576-58ED-0425-E053-6C04A8C0947B,045f1dbf1f7a734c527bb62a236667e5ad11ff3ca243302d00c6bcd0411774a2,100030552863,3e+05,12.6115377536383,2021-02-26,2021,4,29117.124992665,Control,LE65 2QR,LE65,"51 MARLBOROUGH WAY, ASHBY DE LA ZOUCH",51 MARLBOROUGH WAY ASHBY-DE-LA-ZOUCH,D,A,House,Detached,112,,6,,1986.5,34.5,,England and Wales: 1983-1990,C,70,B,82,2020-12-04,2020-12-04,domestic-E07000134-North-West-Leicestershire,"51 MARLBOROUGH WAY ASHBY-DE-LA-ZOUCH, LE65 2QR, United Kingdom","Marlborough Way, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2QR, United Kingdom",52.751919,-1.4774024,ok
